scene,algorithm,iterations,seeds,milliseconds,reference_mae,reference_rmse,reference_bias,reference_p95,background_noise,background_mean,background_edge,background_bias,floor_noise,floor_mean,floor_edge,floor_bias,reflection_noise,reflection_mean,reflection_edge,reflection_bias,glass_noise,glass_mean,glass_edge,glass_bias,stripe_noise,stripe_mean,stripe_edge,stripe_bias,caustic_bias,noise,variance_seconds,total_error,white_noise,white_mean,white_edge,flower_noise,flower_mean,flower_edge,vase_noise,vase_mean,vase_edge,rainbow_noise,rainbow_mean,rainbow_edge
balls,cache,24,4,74195.642,1.506,2.069,0.265,0.454,0.385,48.67,0.65,0.201,0.386,52.91,2.86,0.219,0.373,79.76,38.35,0.225,0.78,46.41,15.38,0.348,0.118,85.76,99.52,0.374,0.364,0.46,15.7,0.531,,,,,,,,,,,,
balls,cache_hq,24,4,119767.863,1.488,2.03,0.24,0.403,0.327,48.67,0.61,0.187,0.344,52.92,2.81,0.199,0.329,79.77,38.3,0.211,0.52,46.59,14.61,0.241,0.084,85.76,99.38,0.382,0.353,0.35,14.672,0.424,,,,,,,,,,,,
balls,cache_legacy,8,4,15901.538,2.224,3.695,2.407,4.821,0.273,49.31,0.46,1.679,0.317,53.63,2.19,1.801,0.286,81.5,37.92,4.207,0.512,46.81,13.2,0.982,0.102,86.52,100.52,3.148,5.736,0.325,1.68,2.429,,,,,,,,,,,,
balls,cache_legacy,16,4,17204.875,2.224,3.696,2.41,4.821,0.243,49.32,0.46,1.709,0.267,53.63,2.24,1.808,0.249,81.48,37.91,4.204,0.487,46.8,13.17,0.974,0.092,86.53,100.51,3.149,5.754,0.296,1.507,2.428,,,,,,,,,,,,
balls,cache_legacy,24,4,18803.696,2.224,3.698,2.412,4.821,0.206,49.34,0.47,1.715,0.212,53.62,2.26,1.806,0.239,81.46,37.93,4.189,0.474,46.8,13.17,0.964,0.09,86.53,100.51,3.149,5.758,0.274,1.412,2.428,,,,,,,,,,,,
balls,cache_previous,8,4,32489.044,1.548,2.709,0.509,0.699,0.359,48.7,0.54,0.22,0.343,52.93,2.64,0.347,0.347,79.76,37.95,0.736,0.744,46.46,13.98,0.364,0.194,85.67,100.03,0.962,1.206,0.438,6.233,0.672,,,,,,,,,,,,
balls,cache_previous,16,4,33785.884,1.547,2.708,0.51,0.698,0.344,48.7,0.53,0.221,0.34,52.93,2.63,0.349,0.34,79.77,37.96,0.748,0.739,46.46,13.96,0.364,0.193,85.67,100.03,0.962,1.208,0.432,6.305,0.668,,,,,,,,,,,,
balls,cache_previous,24,4,35398.97,1.547,2.708,0.511,0.696,0.343,48.7,0.53,0.221,0.338,52.93,2.63,0.35,0.332,79.76,37.96,0.747,0.737,46.46,13.95,0.364,0.193,85.67,100.03,0.962,1.222,0.43,6.545,0.668,,,,,,,,,,,,
balls,cache_previous_hq,8,4,68310.053,1.535,2.7,0.49,0.638,0.239,48.68,0.5,0.19,0.242,52.91,2.62,0.33,0.283,79.76,37.93,0.73,0.477,46.62,13.76,0.278,0.19,85.67,100.02,0.962,1.199,0.303,6.271,0.576,,,,,,,,,,,,
balls,cache_previous_hq,24,4,71153.582,1.533,2.699,0.492,0.635,0.212,48.68,0.5,0.19,0.233,52.91,2.62,0.333,0.266,79.76,37.94,0.742,0.472,46.62,13.73,0.276,0.19,85.67,100.01,0.961,1.22,0.293,6.108,0.573,,,,,,,,,,,,
balls,cache_ultra,24,4,208575.219,1.482,2.025,0.234,0.395,0.296,48.68,0.58,0.184,0.305,52.92,2.8,0.186,0.295,79.77,38.29,0.209,0.392,46.62,14.58,0.23,0.066,85.76,99.39,0.385,0.346,0.292,17.784,0.374,,,,,,,,,,,,
balls,guided,8,2,60777.934,1.965,2.772,1.665,2.792,1.066,49.35,1.61,1.841,0.868,53.46,3.05,1.013,0.856,80.66,38.03,1.448,0.921,46.6,13.73,1.003,1.138,85.51,101.05,0.296,4.304,0.976,57.896,1.93,,,,,,,,,,,,
balls,guided,16,2,116866.586,1.892,2.695,1.617,2.703,0.793,49.34,1.29,1.767,0.658,53.48,2.95,0.957,0.693,80.65,37.91,1.403,0.669,46.84,13.44,0.855,0.788,85.65,100.63,0.297,4.306,0.723,61.09,1.771,,,,,,,,,,,,
vase,cache,8,4,23269.014,,,,,,,,,0.136,166.44,58.57,,,,,,,,,,,,,,,0.46,4.924,,0.77,148.37,144.4,0.374,170.91,229.83,0.421,125.89,183.45,0.357,149.66,17.97
vase,cache,16,4,32389.234,,,,,,,,,0.123,166.44,58.59,,,,,,,,,,,,,,,0.348,3.922,,0.56,148.41,144.32,0.279,170.96,229.92,0.324,125.89,183.5,0.307,149.66,17.97
vase,cache,24,4,41696.915,,,,,,,,,0.114,166.45,58.56,,,,,,,,,,,,,,,0.292,3.555,,0.464,148.41,144.44,0.226,170.97,230.0,0.273,125.9,183.49,0.271,149.67,17.97
vase,guided,8,2,135841.078,,,,,,,,,0.396,167.02,55.7,,,,,,,,,,,,,,,0.859,100.235,,1.43,148.36,143.49,0.733,173.29,231.64,0.717,126.88,184.27,0.658,149.61,17.86
vase,guided,16,2,268419.969,,,,,,,,,0.307,167.02,55.54,,,,,,,,,,,,,,,0.636,108.575,,1.059,148.57,144.23,0.525,173.59,232.08,0.536,127.06,184.53,0.495,149.62,17.84
