scene,algorithm,iterations,seeds,milliseconds,background_noise,background_mean,background_edge,floor_noise,floor_mean,floor_edge,reflection_noise,reflection_mean,reflection_edge,glass_noise,glass_mean,glass_edge,stripe_noise,stripe_mean,stripe_edge,noise,variance_seconds,white_noise,white_mean,white_edge,flower_noise,flower_mean,flower_edge,vase_noise,vase_mean,vase_edge,rainbow_noise,rainbow_mean,rainbow_edge
balls,guided,4,4,462.138,1.998,49.21,2.65,1.509,53.65,11.98,1.595,82.54,154.79,1.937,45.98,55.15,2.056,87.04,432.07,1.833,1.553,,,,,,,,,,,,
balls,guided,8,4,778.983,1.462,49.26,1.91,1.149,53.57,12.01,1.07,82.5,154.32,1.455,46.67,54.31,1.422,87.32,430.93,1.322,1.361,,,,,,,,,,,,
balls,guided,16,4,1367.107,1.037,49.28,1.48,0.853,53.57,12.06,0.832,82.47,153.74,1.044,46.93,54.02,0.973,87.49,430.3,0.952,1.239,,,,,,,,,,,,
balls,guided,32,4,2604.93,0.766,49.34,1.17,0.658,53.57,12.0,0.644,82.43,153.75,0.784,47.03,54.15,0.701,87.55,430.01,0.713,1.324,,,,,,,,,,,,
balls,guided,64,4,5162.618,0.575,49.36,1.03,0.458,53.6,12.03,0.478,82.41,153.68,0.552,47.06,54.15,0.504,87.6,429.9,0.515,1.369,,,,,,,,,,,,
balls,hybrid,4,4,707.695,2.618,49.01,4.66,2.357,53.37,12.39,2.063,81.83,156.24,5.096,44.66,60.61,2.254,86.89,432.33,3.089,6.753,,,,,,,,,,,,
balls,hybrid,8,4,1234.081,1.805,49.12,3.5,1.594,53.39,12.05,1.471,81.74,155.53,3.027,45.94,58.22,1.599,87.24,431.08,1.984,4.858,,,,,,,,,,,,
balls,hybrid,16,4,2290.72,1.315,49.26,2.53,1.191,53.3,12.29,1.187,81.82,155.32,1.934,46.63,57.44,1.101,87.44,430.38,1.379,4.356,,,,,,,,,,,,
balls,hybrid,32,4,4456.826,0.928,49.29,1.79,0.915,53.41,12.27,0.915,81.93,155.13,1.262,46.9,57.1,0.789,87.55,430.06,0.975,4.237,,,,,,,,,,,,
balls,hybrid,64,4,8879.717,0.7,49.32,1.44,0.662,53.47,12.28,0.604,81.93,155.13,0.855,47.01,56.97,0.554,87.6,429.88,0.683,4.142,,,,,,,,,,,,
balls,pt,4,4,272.242,27.894,36.51,40.47,27.152,41.79,41.66,23.236,74.77,173.82,28.949,31.71,90.56,4.062,86.21,443.28,24.123,158.423,,,,,,,,,,,,
balls,pt,8,4,540.926,20.099,42.36,28.81,19.371,47.28,28.44,16.037,77.47,171.86,22.764,37.78,81.34,2.981,86.82,433.41,17.683,169.141,,,,,,,,,,,,
balls,pt,16,4,1077.893,13.898,45.63,19.75,13.41,50.19,22.39,11.226,78.9,169.27,16.47,41.89,73.3,2.107,87.22,430.79,12.447,166.996,,,,,,,,,,,,
balls,pt,32,4,2148.717,9.613,47.19,13.97,9.378,51.56,18.23,7.945,79.6,168.46,11.76,44.26,68.51,1.524,87.43,430.18,8.765,165.076,,,,,,,,,,,,
balls,pt,64,4,4290.178,6.691,47.95,9.79,6.565,52.26,15.63,5.504,80.02,168.14,8.274,45.51,64.97,1.041,87.52,430.01,6.127,161.054,,,,,,,,,,,,
balls,reuse,4,4,675.236,1.826,49.18,2.45,1.648,53.53,12.19,1.549,82.2,154.8,1.873,45.94,55.12,2.069,87.04,432.07,1.802,2.193,,,,,,,,,,,,
balls,reuse,8,4,1146.477,1.233,49.29,1.8,1.191,53.58,12.05,1.032,82.38,154.09,1.408,46.61,54.25,1.421,87.31,430.93,1.265,1.835,,,,,,,,,,,,
balls,reuse,16,4,2139.174,0.883,49.27,1.35,0.885,53.53,11.94,0.858,82.4,153.65,0.999,46.94,54.16,0.98,87.48,430.3,0.923,1.822,,,,,,,,,,,,
balls,reuse,32,4,4085.538,0.653,49.28,1.09,0.691,53.56,12.02,0.634,82.44,153.54,0.72,47.03,54.2,0.703,87.56,430.01,0.681,1.895,,,,,,,,,,,,
balls,reuse,64,4,8084.265,0.469,49.28,0.98,0.519,53.58,12.01,0.484,82.42,153.72,0.525,47.04,54.24,0.5,87.6,429.9,0.5,2.021,,,,,,,,,,,,
balls,sppm,4,4,362.191,12.433,46.69,32.81,11.915,51.27,28.86,14.028,78.98,171.07,12.231,44.81,68.0,3.741,86.01,431.19,11.462,47.584,,,,,,,,,,,,
balls,sppm,8,4,677.087,8.831,47.96,22.55,8.292,52.34,21.68,10.591,79.84,169.64,8.679,46.24,65.95,2.064,86.71,432.44,8.228,45.839,,,,,,,,,,,,
balls,sppm,16,4,1340.871,6.131,48.71,16.13,5.812,52.74,17.42,7.969,80.48,169.12,6.129,46.9,63.76,1.291,86.99,433.07,5.901,46.692,,,,,,,,,,,,
balls,sppm,32,4,2737.836,4.334,49.02,11.33,4.127,53.11,15.38,6.025,80.9,168.44,4.336,47.25,62.42,0.878,87.13,431.45,4.282,50.2,,,,,,,,,,,,
balls,sppm,64,4,5299.208,3.076,49.19,8.06,2.937,53.29,14.68,4.265,81.04,167.95,3.116,47.44,61.73,0.629,87.19,431.26,3.046,49.167,,,,,,,,,,,,
vase,guided,4,4,725.229,,,,2.032,166.93,59.7,,,,,,,,,,3.138,7.141,3.351,148.24,180.13,3.497,174.95,270.45,3.706,128.2,247.97,2.813,149.56,94.86
vase,guided,8,4,1371.972,,,,1.622,166.96,59.87,,,,,,,,,,2.351,7.583,2.652,148.6,178.61,2.515,175.34,270.92,2.757,128.45,248.56,2.01,149.63,94.8
vase,guided,16,4,2587.448,,,,1.395,166.98,59.88,,,,,,,,,,1.8,8.383,2.085,148.67,186.28,1.862,175.61,270.9,2.142,128.58,248.7,1.361,149.56,94.69
vase,guided,32,4,5060.336,,,,1.206,166.98,59.68,,,,,,,,,,1.444,10.551,1.62,148.78,180.62,1.477,175.73,271.51,1.773,128.63,248.35,1.01,149.61,94.81
vase,guided,64,4,10193.091,,,,1.129,166.98,59.65,,,,,,,,,,1.226,15.321,1.334,148.8,181.57,1.288,175.76,271.35,1.479,128.69,248.85,0.784,149.55,94.71
vase,hybrid,4,4,1037.426,,,,2.794,166.41,63.35,,,,,,,,,,3.921,15.95,3.464,148.39,183.92,4.931,175.23,270.94,4.354,128.22,247.2,3.716,149.39,96.46
vase,hybrid,8,4,1870.817,,,,2.273,166.39,63.45,,,,,,,,,,2.786,14.521,2.875,148.48,181.04,3.098,175.46,272.06,3.02,128.4,247.19,2.578,149.67,95.48
vase,hybrid,16,4,3526.54,,,,1.975,166.41,63.21,,,,,,,,,,2.073,15.155,2.179,148.43,177.34,2.045,175.65,273.15,2.237,128.51,247.02,1.91,149.71,94.26
vase,hybrid,32,4,6951.484,,,,1.809,166.42,63.46,,,,,,,,,,1.618,18.198,1.549,148.68,180.01,1.596,175.77,271.52,1.704,128.6,247.64,1.404,149.71,94.43
vase,hybrid,64,4,13619.944,,,,1.738,166.43,63.14,,,,,,,,,,1.32,23.731,1.136,148.76,180.45,1.192,175.86,272.47,1.378,128.63,248.58,1.042,149.7,94.86
vase,pt,4,4,606.954,,,,38.755,159.8,87.31,,,,,,,,,,36.453,806.533,39.957,138.0,186.35,37.544,167.13,259.6,31.61,120.36,241.58,33.716,142.17,97.66
vase,pt,8,4,1212.644,,,,26.689,163.12,75.2,,,,,,,,,,25.123,765.379,26.586,140.79,168.61,27.051,171.1,258.33,21.977,123.35,240.01,22.846,145.2,94.4
vase,pt,16,4,2428.871,,,,18.347,164.29,74.41,,,,,,,,,,17.615,753.65,18.721,141.45,160.98,19.021,172.5,263.05,15.56,124.65,241.41,16.136,146.55,94.82
vase,pt,32,4,4860.247,,,,12.912,164.89,70.24,,,,,,,,,,12.367,743.339,12.789,142.43,168.34,13.554,173.05,265.89,10.902,125.24,243.01,11.484,147.18,93.7
vase,pt,64,4,9688.552,,,,9.186,165.32,68.44,,,,,,,,,,8.709,734.845,8.851,142.99,167.21,9.603,173.33,264.98,7.697,125.48,242.6,8.066,147.48,93.8
vase,reuse,4,4,969.074,,,,2.578,166.38,59.58,,,,,,,,,,3.163,9.695,2.982,148.35,177.8,3.497,174.95,270.45,3.632,128.2,247.78,3.011,149.4,96.49
vase,reuse,8,4,1807.454,,,,2.172,166.35,60.24,,,,,,,,,,2.379,10.23,2.336,148.78,178.47,2.515,175.34,270.92,2.693,128.45,248.4,2.134,149.67,95.59
vase,reuse,16,4,3535.312,,,,1.959,166.38,60.43,,,,,,,,,,1.905,12.83,1.958,148.69,183.44,1.862,175.61,270.9,2.103,128.57,248.74,1.609,149.7,94.41
vase,reuse,32,4,6895.299,,,,1.808,166.38,60.76,,,,,,,,,,1.546,16.481,1.41,148.78,180.77,1.477,175.73,271.51,1.752,128.62,248.32,1.201,149.71,94.63
vase,reuse,64,4,13745.603,,,,1.749,166.39,60.41,,,,,,,,,,1.344,24.829,1.163,148.83,181.97,1.288,175.76,271.35,1.466,128.69,248.85,0.9,149.7,94.93
vase,sppm,4,4,405.518,,,,5.255,165.89,72.56,,,,,,,,,,7.357,21.949,7.43,140.77,169.7,10.218,163.97,248.84,7.121,121.17,232.69,5.72,149.31,96.6
vase,sppm,8,4,791.797,,,,3.796,165.89,73.38,,,,,,,,,,5.203,21.435,5.431,140.69,179.96,7.147,164.21,250.23,4.97,121.31,232.09,3.963,149.64,95.43
vase,sppm,16,4,1581.098,,,,2.665,165.94,73.98,,,,,,,,,,3.699,21.634,4.056,140.34,173.9,4.932,164.34,249.88,3.537,121.37,232.27,2.834,149.7,94.1
vase,sppm,32,4,3159.336,,,,1.902,165.95,74.18,,,,,,,,,,2.589,21.177,2.721,140.34,172.35,3.467,164.53,249.72,2.533,121.41,231.59,2.015,149.7,94.39
vase,sppm,64,4,6315.055,,,,1.356,165.95,74.23,,,,,,,,,,1.835,21.264,1.896,140.37,171.59,2.458,164.45,250.31,1.789,121.41,231.64,1.466,149.7,94.75
